year,month,first,authors,title,journal,volume,issue
2018,7,Kalsi,"Kalsi, Swarn S. And Hamilton, Kent A. And Badcock, Rodney A.",Superconducting Rotating Machines for Aerospace Applications,2018 Joint Propulsion Conference,,
2016,0,Haran,"Haran, Kiruba and Loder, David and Deppen, Timothy and Zheng, Lijun","Actively Shielded, High Field Air-Core Superconducting Machines",IEEE Transactions on Applied Superconductivity,,
2019,8,Komiya,"Komiya, Masataka and Aikawa, Takuya and Sasa, Hiromasa and Miura, Shun and Iwakuma, Masataka and Yoshida, Takashi and Sasayama, Teruyoshi and Tomioka, Akira and Konno, Masayuki and Izumi, Teruo",Design Study of 10 MW REBCO Fully Superconducting Synchronous Generator for Electric Aircraft,IEEE Transactions on Applied Superconductivity,29,5
2020,5,Filipenko,"Filipenko, Mykhaylo and Kühn, Lars and Gleixner, Thomas and Thummet, Martin and Lessmann, Marc and Möller, Dirk and Böhm, Matthias and Schröter, Andreas and Häse, Kerstin and Grundmann, Jörn and Wilke, Markus and Frank, Michael and Hasselt, Peter Van and Richter, Johannes and Herranz-Garcia, Mercedes and Weidermann, Christian and Spangolo, Arestid and Klöpzig, Markus and Gröppel, Peter and Moldenhauer, Stefan",Concept Design of a High Power Superconducting Generator for Future Hybrid-Electric Aircraft,Superconductor Science and Technology,33,5
2020,6,Dezhin,"Dezhin, D and Dezhina, I and Ilyasov, R",Superconducting Propulsion System With LH2 Cooling for All-Electric Aircraft,Journal of Physics: Conference Series,1559,1
2021,3,Colle,"Colle, Alexandre and Lubin, Thierry and Leveque, Jean",Design of a Superconducting Machine and Its Cooling System for an Aeronautics Application,The European Physical Journal Applied Physics,93,3
0,0,Dorget,"Dorget, Rémi and Nouailhetas, Quentin and Colle, Alexandre and Berger, Kévin and Sudo, Kimiaki and Ayat, Sabrina and Lévêque, Jean and Koblischka, Michael Rudolf and Sakai, Naomichi and Oka, Tetsuo and Douine, Bruno",Review on the Use of Superconducting Bulks for Magnetic Screening in Electrical Machines for Aircraft Applications,Materials,14,11
2020,8,Yagotintsev,"Yagotintsev, K and Anvar, v a and Gao, P and Dhalle, M J and Haugan, T J and Van Der Laan, D C and Weiss, J D and Hossain, M S a and Nijhuis, A","AC Loss and Contact Resistance in REBCO CORC<sup>®</sup>, Roebel, and Stacked Tape Cables",Superconductor Science and Technology,33,8
2014,9,Goldacker,"Goldacker, Wilfried and Grilli, Francesco and Pardo, Enric and Kario, Anna and Schlachter, Sonja I and Vojenčiak, Michal",Roebel Cables From REBCO Coated Conductors: A One-Century-Old Concept for the Superconductivity of the Future,Superconductor Science and Technology,27,9
2019,3,Van Der Laan,"Van Der Laan, D C and Weiss, J D and McRae, D M",Status of CORC<sup>®</sup> Cables and Wires for Use in High-Field Magnets and Power Systems a Decade After Their Introduction,Superconductor Science and Technology,32,3
2013,6,Grilli,"Grilli, F. And Zermeno, v. And Vojenciak, M. And Pardo, E. And Kario, A. And Goldacker, W.",AC Losses of Pancake Coils Made of Roebel Cable,IEEE Transactions on Applied Superconductivity,23,3
2020,5,Van Der Laan,"Van Der Laan, D C and Weiss, J D and Trociewitz, U P and Abraimov, D and Francis, a and Gillman, J and Davis, D S and Kim, Y and Griffin, v. And Miller, G and Weijers, H W and Cooley, L D and Larbalestier, D C and Wang, X R",A CORC<sup>®</sup> Cable Insert Solenoid: The First High-Temperature Superconducting Insert Magnet Tested at Currents Exceeding 4 kA in 14 T Background Magnetic Field,Superconductor Science and Technology,33,5
